Sample Size,cohen_d,data,PmP,AABF,JZSBF,pval,cohenD,matrix
23,0.2,"<tibble[,3]>",0.7523359965363684,3.037728478966649,0.35298396625276607,0.4989017179541271,-0.20106929894804548,teachers_more
23,0.5,"<tibble[,3]>",0.9558699456870653,21.66029388744472,0.9336737782085099,0.09531264327548401,-0.5026732473701138,teachers_more
23,0.8,"<tibble[,3]>",0.9968085745663154,312.3396097697525,5.244155299518622,0.00913421714417865,-0.8042771957921819,teachers_more
39,0.1,"<tibble[,3]>",0.6711309746675702,2.0407241879625873,0.2557599940318611,0.6589965904402488,-0.10032841266293906,teachers_more
39,0.2,"<tibble[,3]>",0.8122118604333853,4.325149939223224,0.3300242414962486,0.3783714380249872,-0.2006568253258781,teachers_more
39,0.5,"<tibble[,3]>",0.9866265340711561,73.77493159370097,1.9040787449445362,0.02974199042078245,-0.5016420633146953,teachers_more
39,0.8,"<tibble[,3]>",0.999803176104042,5079.683903406613,42.355805832817694,6.773037694180014e-4,-0.8026273013035125,teachers_more
81,0.1,"<tibble[,3]>",0.7380849550356802,2.818031912356269,0.20464991657648704,0.524741218594861,-0.10016600901213837,teachers_more
81,0.2,"<tibble[,3]>",0.8988285930267291,8.884215609101856,0.35884390023948776,0.20419106483901514,-0.20033201802427675,teachers_more
81,0.5,"<tibble[,3]>",0.9992818691720694,1391.5039297944986,16.869179624768684,0.0017275485643611433,-0.5008300450606918,teachers_more
81,0.8,"<tibble[,3]>",0.9999998298325972,5876565.150069805,14670.032775498426,9.520705834283809e-7,-0.801328072097107,teachers_more
15,0.1,"<tibble[,3]>",0.6087359467748178,1.5558187412235263,0.3545002477935814,0.7845552144743347,0.10079043974777677,dentists_more
15,0.2,"<tibble[,3]>",0.7095436277472409,2.442857845548611,0.38667681335099374,0.585292611163448,0.20158087949555353,dentists_more
15,0.5,"<tibble[,3]>",0.9162266791805503,10.936974566822133,0.7020431323749244,0.17846747610512986,0.5039521987388839,dentists_more
15,0.8,"<tibble[,3]>",0.9863851079268138,72.44898473117102,2.018016491089995,0.03558754463043841,0.8063235179822141,dentists_more
26,0.1,"<tibble[,3]>",0.6414276067044089,1.788837118243079,0.2937350055875296,0.7186715659465488,0.10047765698472944,dentists_more
26,0.2,"<tibble[,3]>",0.765637367404865,3.2668918202822694,0.34553381013382445,0.47210232038796596,0.20095531396945887,dentists_more
